# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff7006d8a69c0
# CUDA_DEVICE 0 GeForce GTX 460
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,fb_subp0_read_sectors,fb_subp0_write_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,fb_subp1_read_sectors,fb_subp1_write_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,inst_executed,l1_global_load_miss,l2_subp0_write_sector_queries,warps_launched,threads_launched,uncached_global_load_transaction,l2_subp1_write_sector_queries,active_warps,global_store_transaction,l2_subp0_read_sector_queries,active_cycles,l1_shared_bank_conflict,l2_subp1_read_sector_queries,tex0_cache_sector_queries,tex0_cache_sector_misses,inst_issued1_0,inst_issued2_0,tex1_cache_sector_queries,inst_issued1_1,inst_issued2_1,tex1_cache_sector_misses
12065577c5856580,memset32_aligned1D,57.44,77,1,5462,1,192,1,1,0,0,6,0,-1,,0,0,0,0,4710,65536,286,65536,0,0,788,0,65536,315,65536,9396,0,0,314,0,0,0,311,70470,0,32,4710,150720,0,65536,1272538,4722,0,39010,0,0,0,0,21229,7071,0,21242,7071,0
12065577c58cd560,memcpyHtoD,1341.79,1537,,,,,,,,,,0,0,4194304,0
12065577c5a18c00,memcpyHtoD,0.96,4,,,,,,,,,,0,0,1024,0
12065577c5a24b00,_Z10gpu_dpotrfPfS_ii,140.448,151,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,788,68,0,0,1,0,68,103,68,1090,0,0,788,0,0,1345,803,10974,151,0,1,1,0,68,99415,136,304,99425,0,300,0,0,3362,3808,0,0,0,0
12065577c5a80d00,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
12065577c5a83020,_Z9gpu_inv_lPfS_ii,27.776,38,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,102,152,102,0,0,1,0,166,152,166,151,0,0,136,0,0,226,152,1892,46,0,1,16,0,168,18857,136,92,18867,0,92,0,0,0,0,0,760,568,0
12065577c5ac3620,_Z8gpu_mm_rPfS_S_ii,13.664,23,0.833,63,1,16,16,1,2048,2048,21,0,-1,,0,0,0,216,1152,10096,2088,10096,1440,144,9,0,9729,2084,9729,72,0,0,2072,0,0,51,2076,5504,246,600,64,2048,0,16128,272009,2304,4356,8489,0,4140,0,0,1981,1084,0,2000,1084,0
12065577c5afe500,_Z8gpu_mm_aPfS_ii,712.8,723,0.833,63,63,16,16,1,2048,2048,21,0,-1,,0,0,0,12360,65920,287524,85960,287524,130560,8160,510,0,287972,86034,287972,4016,0,0,85876,0,0,7421,86032,429936,16840,16392,4048,129536,0,1016064,18859878,129280,261308,509705,0,262356,0,0,140689,69760,0,142557,71160,0
12065577c5be42c0,_Z10gpu_dpotrfPfS_ii,139.616,149,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,760,68,0,0,1,0,68,807,68,1090,0,0,756,0,0,1345,779,10974,151,0,1,1,0,68,99043,136,300,99018,0,304,0,0,3362,3808,0,0,0,0
12065577c5c3d260,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
12065577c5c3f260,_Z9gpu_inv_lPfS_ii,27.68,37,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,160,104,0,0,1,0,164,132,164,151,0,0,148,0,0,226,144,1892,46,0,1,16,0,168,18790,136,92,18772,0,92,0,0,0,0,0,760,568,0
12065577c5c7d8a0,_Z8gpu_mm_rPfS_S_ii,13.792,26,0.833,62,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,9836,1936,9836,1440,144,9,0,9567,1968,9567,72,0,0,1936,0,0,82,1940,6192,288,480,72,2304,0,15872,269841,2304,3992,7658,0,4168,0,0,2063,1084,0,2055,1084,0
12065577c5cb9d00,_Z8gpu_mm_aPfS_ii,740.896,751,0.833,62,62,16,16,1,2048,2048,21,0,-1,,0,0,0,11736,62592,247410,66648,247410,125952,7872,492,0,247655,66592,247655,3864,0,0,66640,0,0,9539,66608,416368,13818,3728,3920,125440,0,984064,19578211,123648,208740,528347,0,208540,0,0,142540,68640,0,142472,67940,0
12065577c5da7f40,_Z10gpu_dpotrfPfS_ii,139.712,150,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,756,68,0,0,1,0,68,779,68,1090,0,0,764,0,0,1345,775,10974,151,0,1,1,0,68,98843,136,300,98864,0,304,0,0,3362,3808,0,0,0,0
12065577c5e00fa0,memcpyHtoD,0.96,2,,,,,,,,,,0,0,1024,0
12065577c5e03020,_Z9gpu_inv_lPfS_ii,27.712,38,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,102,132,102,0,0,1,0,168,152,168,151,0,0,132,0,0,226,156,1892,46,0,1,16,0,168,18779,136,92,18769,0,92,0,0,0,0,0,760,568,0
12065577c5e41480,_Z8gpu_mm_rPfS_S_ii,13.088,23,0.833,61,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,9625,1872,9625,1280,128,8,0,9302,1892,9302,64,0,0,1868,0,0,68,1904,5504,276,504,64,2048,0,15616,257407,2304,4184,7575,0,3992,0,0,1801,968,0,1749,968,0
12065577c5e7cde0,_Z8gpu_mm_aPfS_ii,664.832,675,0.833,61,61,16,16,1,2048,2048,21,0,-1,,0,0,0,11592,61824,270981,78700,270981,122368,7648,478,0,269665,79228,269665,3776,0,0,79036,0,0,7077,79276,404496,15926,14992,3792,121344,0,952576,17686108,122368,243520,474223,0,245780,0,0,134004,67240,0,134247,66960,0
12065577c5f56940,_Z10gpu_dpotrfPfS_ii,139.936,150,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,64,68,0,0,1,0,68,771,68,1090,0,0,760,0,0,1345,795,10974,151,0,1,1,0,68,98998,136,304,98802,0,300,0,0,3362,3808,0,0,0,0
