# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff7006d927e58
# CUDA_DEVICE 0 GeForce GTX 460
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,fb_subp0_read_sectors,fb_subp0_write_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,fb_subp1_read_sectors,fb_subp1_write_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,inst_executed,l1_global_load_miss,l2_subp0_write_sector_queries,warps_launched,threads_launched,uncached_global_load_transaction,l2_subp1_write_sector_queries,active_warps,global_store_transaction,l2_subp0_read_sector_queries,active_cycles,l1_shared_bank_conflict,l2_subp1_read_sector_queries,tex0_cache_sector_queries,tex0_cache_sector_misses,inst_issued1_0,inst_issued2_0,tex1_cache_sector_queries,inst_issued1_1,inst_issued2_1,tex1_cache_sector_misses
1206554bae9378a0,memset32_aligned1D,5.664,24,1,86,1,192,1,1,0,0,6,0,-1,,0,0,0,0,78,1024,38,1024,0,0,12,0,1024,51,1024,156,0,0,6,0,0,0,43,1080,0,0,78,2496,0,1024,82835,78,0,1908,0,0,0,0,409,141,0,388,132,0
1206554bae978900,memcpyHtoD,18.368,18,,,,,,,,,,0,0,65536,0
1206554bae97f0e0,memcpyHtoD,0.992,2,,,,,,,,,,0,0,1024,0
1206554bae989300,_Z10gpu_dpotrfPfS_ii,134.88,145,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,716,68,0,0,1,0,68,704,68,1090,0,0,628,0,0,1345,680,10974,151,0,1,1,0,68,95463,136,300,95552,0,304,0,0,3362,3808,0,0,0,0
1206554bae9e2b20,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
1206554bae9e4f40,_Z9gpu_inv_lPfS_ii,27.552,38,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,164,104,0,0,1,0,162,152,162,151,0,0,156,0,0,226,156,1892,46,0,1,16,0,168,18662,136,92,18667,0,92,0,0,0,0,0,760,568,0
1206554baea23b60,_Z8gpu_mm_rPfS_S_ii,5.248,15,0.833,7,1,16,16,1,2048,2048,21,0,-1,,0,0,0,48,256,903,36,903,320,32,2,0,945,35,945,16,0,0,36,0,0,8,31,1376,72,8,16,512,0,1792,37264,512,528,2777,0,528,0,0,396,248,0,389,248,0
1206554baea5cb40,_Z8gpu_mm_aPfS_ii,11.328,21,0.833,7,7,16,16,1,2048,2048,21,0,-1,,0,0,0,168,896,7072,50,7072,1792,112,7,0,7023,47,7023,56,0,0,50,0,0,160,48,5936,176,24,64,2048,0,12544,197971,1792,2464,6517,0,2528,0,0,1241,740,0,1701,1020,0
1206554baea9cb60,_Z10gpu_dpotrfPfS_ii,134.72,145,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,36,692,36,0,0,1,0,100,664,100,1090,0,0,680,0,0,1345,692,10974,151,0,1,1,0,100,95325,136,172,95329,0,432,0,0,3362,3808,0,0,0,0
1206554baeaf5080,memcpyHtoD,0.96,4,,,,,,,,,,0,0,1024,0
