# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff7006d8d9d00
# CUDA_DEVICE 0 GeForce GTX 460
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,fb_subp0_read_sectors,fb_subp0_write_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,fb_subp1_read_sectors,fb_subp1_write_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,inst_executed,l1_global_load_miss,l2_subp0_write_sector_queries,warps_launched,threads_launched,uncached_global_load_transaction,l2_subp1_write_sector_queries,active_warps,global_store_transaction,l2_subp0_read_sector_queries,active_cycles,l1_shared_bank_conflict,l2_subp1_read_sector_queries,tex0_cache_sector_queries,tex0_cache_sector_misses,inst_issued1_0,inst_issued2_0,tex1_cache_sector_queries,inst_issued1_1,inst_issued2_1,tex1_cache_sector_misses
120655679832df40,memset32_aligned1D,8.064,26,1,342,1,192,1,1,0,0,6,0,-1,,0,0,0,0,300,4096,30,4096,0,0,48,0,4096,43,4096,600,0,0,30,0,0,0,75,4500,0,8,300,9600,0,4096,146903,306,0,3729,0,0,0,0,1338,438,0,1398,465,0
12065567983767e0,memcpyHtoD,84.384,139,,,,,,,,,,0,0,262144,0
120655679838ea40,memcpyHtoD,0.992,3,,,,,,,,,,0,0,1024,0
120655679839a0e0,_Z10gpu_dpotrfPfS_ii,136.16,147,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,60,712,60,0,0,1,0,76,723,76,1090,0,0,728,0,0,1345,727,10974,151,0,1,1,0,76,96346,136,268,96384,0,336,0,0,3362,3808,0,0,0,0
12065567983f3940,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
12065567983f5ce0,_Z9gpu_inv_lPfS_ii,27.552,37,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,100,152,100,0,0,1,0,164,16,164,151,0,0,136,0,0,226,172,1892,46,0,1,16,0,168,18667,136,92,18707,0,92,0,0,0,0,0,760,568,0
12065567984344e0,_Z8gpu_mm_rPfS_S_ii,6.624,16,0.833,15,1,16,16,1,2048,2048,21,0,-1,,0,0,0,72,384,1832,88,1832,480,48,3,0,1920,52,1920,24,0,0,112,0,0,16,108,2064,104,8,24,768,0,3840,77599,768,1072,3738,0,1072,0,0,613,372,0,643,372,0
120655679846d6c0,_Z8gpu_mm_aPfS_ii,36,46,0.833,15,15,16,16,1,2048,2048,21,0,-1,,0,0,0,720,3840,23751,196,23751,7680,480,30,0,23906,8,23906,248,0,0,196,0,0,714,196,25440,769,104,248,7936,0,57600,885546,7936,11716,23908,0,11692,0,0,7383,4240,0,7403,4240,0
12065567984af4e0,_Z10gpu_dpotrfPfS_ii,135.008,145,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,76,684,76,0,0,1,0,60,701,60,1090,0,0,676,0,0,1345,672,10974,151,0,1,1,0,60,95527,136,336,95539,0,268,0,0,3362,3808,0,0,0,0
1206556798507400,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
1206556798509440,_Z9gpu_inv_lPfS_ii,27.52,37,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,103,128,103,0,0,1,0,160,128,160,151,0,0,124,0,0,226,126,1892,46,0,1,16,0,168,18678,136,92,18619,0,92,0,0,0,0,0,760,568,0
1206556798547b40,_Z8gpu_mm_rPfS_S_ii,6.4,16,0.833,14,1,16,16,1,2048,2048,21,0,-1,,0,0,0,72,384,1744,84,1744,480,48,3,0,1770,104,1770,24,0,0,116,0,0,16,96,2064,104,16,24,768,0,3584,67867,768,1008,3362,0,1008,0,0,625,372,0,631,372,0
12065567985819a0,_Z8gpu_mm_aPfS_ii,31.456,41,0.833,14,14,16,16,1,2048,2048,21,0,-1,,0,0,0,648,3456,21031,176,21031,6912,432,27,0,20960,156,20960,208,0,0,164,0,0,690,148,22896,627,88,208,6656,0,50176,698616,6400,9132,21291,0,9396,0,0,6458,3680,0,6728,3820,0
12065567985c0f80,_Z10gpu_dpotrfPfS_ii,135.104,145,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,60,668,60,0,0,1,0,76,736,76,1090,0,0,672,0,0,1345,680,10974,151,0,1,1,0,76,95581,136,272,95585,0,332,0,0,3362,3808,0,0,0,0
120655679861f4a0,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
1206556798621720,_Z9gpu_inv_lPfS_ii,27.68,37,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,102,124,102,0,0,1,0,166,156,166,151,0,0,124,0,0,226,140,1892,46,0,1,16,0,168,18732,136,92,18745,0,92,0,0,0,0,0,760,568,0
12065567986600a0,_Z8gpu_mm_rPfS_S_ii,6.016,16,0.833,13,1,16,16,1,2048,2048,21,0,-1,,0,0,0,72,384,1751,112,1751,480,48,3,0,1487,104,1487,24,0,0,120,0,0,16,88,2064,104,0,24,768,0,3328,69077,768,944,3287,0,944,0,0,627,372,0,657,372,0
120655679869a300,_Z8gpu_mm_aPfS_ii,27.84,38,0.833,13,13,16,16,1,2048,2048,21,0,-1,,0,0,0,552,2944,17844,148,17844,6144,384,24,0,17761,148,17761,184,0,0,128,0,0,446,124,19504,624,24,184,5888,0,43264,610597,5376,8896,17726,0,8800,0,0,5679,3260,0,5694,3260,0
12065567986d8880,_Z10gpu_dpotrfPfS_ii,135.616,145,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,76,684,76,0,0,1,0,60,676,60,1090,0,0,716,0,0,1345,676,10974,151,0,1,1,0,60,95900,136,332,95863,0,272,0,0,3362,3808,0,0,0,0
12065567987307e0,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
