# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6ff90164440
# CUDA_DEVICE 0 GeForce GTX 460
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,fb_subp0_read_sectors,fb_subp0_write_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,fb_subp1_read_sectors,fb_subp1_write_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,inst_executed,l1_global_load_miss,l2_subp0_write_sector_queries,warps_launched,threads_launched,uncached_global_load_transaction,l2_subp1_write_sector_queries,active_warps,global_store_transaction,l2_subp0_read_sector_queries,active_cycles,l1_shared_bank_conflict,l2_subp1_read_sector_queries,tex0_cache_sector_queries,tex0_cache_sector_misses,inst_issued1_0,inst_issued2_0,tex1_cache_sector_queries,inst_issued1_1,inst_issued2_1,tex1_cache_sector_misses
120744e093f455c0,memset32_aligned1D,57.632,79,1,5462,1,192,1,1,0,0,6,0,-1,,0,0,0,0,4716,65536,311,65536,0,0,783,0,65536,306,65536,9432,0,0,315,0,0,0,302,70470,0,61200,4692,150144,0,65536,1260144,4686,0,38954,0,0,0,0,21256,7071,0,21222,7062,0
120744e093fc5e20,memcpyHtoD,1354.43,1581,,,,,,,,,,0,0,4194304,0
120744e0941145c0,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
120744e0941215c0,_Z10gpu_dpotrfPfS_ii,10.368,22,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,147,12,344,88,1,0,12,124,12,272,0,0,147,8,0,0,128,2048,16,144,8,256,0,36,49698,72,32,6050,9,32,0,0,928,60,0,977,68,0
120744e09415d920,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
120744e09415fbe0,_Z9gpu_inv_lPfS_ii,29.888,40,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,216,104,0,0,1,0,168,174,168,151,0,0,184,0,0,226,198,1892,46,328,1,16,0,168,20370,136,92,20342,0,92,0,0,760,568,0,0,0,0
120744e09419f200,_Z8gpu_mm_rPfS_S_ii,13.504,23,0.833,63,1,16,16,1,2048,2048,21,0,-1,,0,0,0,216,1152,10064,2060,10064,1600,160,10,0,10373,2088,10373,72,0,0,2066,0,0,114,2096,6192,313,20064,80,2560,0,16128,293753,2304,4052,7584,0,4008,0,0,1976,1084,0,1954,1084,0
120744e0941dc1a0,_Z8gpu_mm_aPfS_ii,712.768,723,0.833,63,63,16,16,1,2048,2048,21,0,-1,,0,0,0,12312,65664,287660,86644,287660,130304,8144,509,0,288472,86700,288472,4048,0,0,86244,0,0,7349,86728,435024,17208,1527920,4080,130560,0,1016064,18972740,130304,261372,508746,0,262508,0,0,141466,70740,0,143952,72000,0
120744e0942c3580,_Z10gpu_dpotrfPfS_ii,9.568,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,83,12,344,88,1,0,12,80,12,272,0,0,47,8,0,0,68,2048,16,144,8,256,0,36,45312,72,32,5532,9,32,0,0,928,60,0,928,60,0
120744e0942fcc00,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
