# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6ff8f377cb8
# CUDA_DEVICE 0 GeForce GTX 460
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,fb_subp0_read_sectors,fb_subp0_write_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,fb_subp1_read_sectors,fb_subp1_write_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,inst_executed,l1_global_load_miss,l2_subp0_write_sector_queries,warps_launched,threads_launched,uncached_global_load_transaction,l2_subp1_write_sector_queries,active_warps,global_store_transaction,l2_subp0_read_sector_queries,active_cycles,l1_shared_bank_conflict,l2_subp1_read_sector_queries,tex0_cache_sector_queries,tex0_cache_sector_misses,inst_issued1_0,inst_issued2_0,tex1_cache_sector_queries,inst_issued1_1,inst_issued2_1,tex1_cache_sector_misses
120745230b875520,memset32_aligned1D,57.344,76,1,5462,1,192,1,1,0,0,6,0,-1,,0,0,0,0,4710,65536,299,65536,0,0,788,0,65536,314,65536,9396,0,0,275,0,0,0,282,70560,0,49120,4704,150528,0,65536,1276853,4698,0,38976,0,0,0,0,21282,7089,0,21206,7062,0
120745230b8ebc60,memcpyHtoD,1335.81,1528,,,,,,,,,,0,0,4194304,0
120745230ba357e0,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
120745230ba41060,_Z10gpu_dpotrfPfS_ii,10.368,21,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,175,12,344,88,1,0,12,136,12,272,0,0,147,8,0,0,136,2048,16,144,8,256,0,36,49698,72,32,6055,9,32,0,0,928,60,0,977,68,0
120745230ba7f2c0,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
120745230ba81700,_Z9gpu_inv_lPfS_ii,29.984,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,208,104,0,0,1,0,168,178,168,151,0,0,208,0,0,226,178,1892,46,8,1,16,0,168,20350,136,92,20376,0,92,0,0,760,568,0,0,0,0
120745230bac1400,_Z8gpu_mm_rPfS_S_ii,9.696,19,1,63,1,16,16,1,3072,3072,12,0,-1,,0,0,0,216,72,1008,2036,1008,2376,1296,9,0,1008,2064,1008,72,0,0,2068,0,0,42,2064,7272,313,1208,72,2304,0,1008,220497,144,4348,5727,0,4328,0,0,2645,624,0,2656,624,0
120745230bafb660,_Z8gpu_mm_aPfS_ii,431.008,441,1,63,63,16,16,1,3072,3072,12,0,-1,,0,0,0,13632,4544,63504,84892,63504,149688,81648,567,0,63504,84780,63504,4544,0,0,84828,0,0,6712,84892,494424,20413,89456,4536,145152,0,63504,14074661,9072,283932,307260,0,284868,0,0,166156,45488,0,166089,45488,0
120745230bb9f4a0,_Z10gpu_dpotrfPfS_ii,9.568,20,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,87,12,344,88,1,0,12,92,12,272,0,0,103,8,0,0,76,2048,16,144,8,256,0,36,45278,72,32,5490,9,32,0,0,977,68,0,928,60,0
120745230bbd8f80,memcpyHtoD,0.928,2,,,,,,,,,,0,0,1024,0
120745230bbdaf40,_Z9gpu_inv_lPfS_ii,29.92,40,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,194,104,0,0,1,0,159,180,159,151,0,0,190,0,0,226,176,1892,46,240,1,16,0,168,20488,136,92,20453,0,92,0,0,0,0,0,760,568,0
120745230bc1a720,_Z8gpu_mm_rPfS_S_ii,9.344,19,1,62,1,16,16,1,3072,3072,12,0,-1,,0,0,0,216,72,992,1940,992,2376,1296,9,0,992,1952,992,72,0,0,1964,0,0,46,1968,7272,314,1248,72,2304,0,992,220073,144,4256,5566,0,4240,0,0,2657,624,0,2676,624,0
120745230bc55ae0,_Z8gpu_mm_aPfS_ii,414.4,425,1,62,62,16,16,1,3072,3072,12,0,-1,,0,0,0,13176,4392,61504,64804,61504,144936,79056,549,0,61504,64792,61504,4384,0,0,64784,0,0,8508,64760,478728,17981,81840,4384,140288,0,61504,13421961,8800,246852,294855,0,247328,0,0,160778,44048,0,160510,43968,0
120745230bcf2de0,_Z10gpu_dpotrfPfS_ii,9.6,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,107,12,344,88,1,0,12,76,12,272,0,0,87,8,0,0,88,2048,16,144,8,256,0,36,45246,72,32,5494,9,32,0,0,928,60,0,977,68,0
120745230bd2c620,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
120745230bd2e5a0,_Z9gpu_inv_lPfS_ii,30.016,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,179,104,0,0,1,0,162,167,162,151,0,0,195,0,0,226,175,1892,46,144,1,16,0,168,20320,136,92,20328,0,92,0,0,760,568,0,0,0,0
120745230bd6e880,_Z8gpu_mm_rPfS_S_ii,9.408,19,1,61,1,16,16,1,3072,3072,12,0,-1,,0,0,0,216,72,976,1840,976,2376,1296,9,0,976,1872,976,72,0,0,1852,0,0,51,1836,7272,307,1632,72,2304,0,976,210288,144,4176,5495,0,4196,0,0,2648,624,0,2624,624,0
120745230bda8880,_Z8gpu_mm_aPfS_ii,403.84,413,1,61,61,16,16,1,3072,3072,12,0,-1,,0,0,0,12768,4256,59536,77964,59536,140448,76608,532,0,59536,77920,59536,4264,0,0,77888,0,0,6589,77956,463032,19176,86608,4256,136192,0,59536,13108542,8512,265092,287947,0,265780,0,0,155590,42608,0,155571,42608,0
120745230be44280,_Z10gpu_dpotrfPfS_ii,9.568,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,79,12,344,88,1,0,12,92,12,272,0,0,83,8,0,0,92,2048,16,144,8,256,0,36,45320,72,32,5500,9,32,0,0,977,68,0,928,60,0
120745230be7db60,memcpyHtoD,0.928,4,,,,,,,,,,0,0,1024,0
120745230be7fb00,_Z9gpu_inv_lPfS_ii,30.176,40,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,103,195,103,0,0,1,0,163,167,163,151,0,0,179,0,0,226,191,1892,46,80,1,16,0,168,20450,136,92,20323,0,92,0,0,0,0,0,760,568,0
120745230bebf020,_Z8gpu_mm_rPfS_S_ii,9.472,19,1,60,1,16,16,1,3072,3072,12,0,-1,,0,0,0,216,72,960,1844,960,2376,1296,9,0,960,1868,960,72,0,0,1860,0,0,62,1872,7272,302,1192,72,2304,0,960,209596,144,4140,5454,0,4140,0,0,2635,624,0,2641,624,0
120745230bef8fc0,_Z8gpu_mm_aPfS_ii,388.16,398,1,60,60,16,16,1,3072,3072,12,0,-1,,0,0,0,12360,4120,57600,60424,57600,135696,74016,514,0,57600,60288,57600,4112,0,0,60404,0,0,7936,60328,449080,16482,84880,4112,131584,0,57600,12570515,8240,231276,276454,0,227744,0,0,150583,41248,0,150667,41248,0
120745230bf9c8a0,_Z10gpu_dpotrfPfS_ii,10.528,51,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,139,12,344,88,1,0,12,88,12,272,0,0,123,8,0,0,68,2048,16,0,8,256,0,36,45190,72,32,5485,9,32,0,0,928,60,0,977,68,0
120745230bfd9e40,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
120745230bfdbe80,_Z9gpu_inv_lPfS_ii,29.984,40,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,101,203,101,0,0,1,0,165,167,165,151,0,0,171,0,0,226,175,1892,46,336,1,16,0,168,20326,136,92,20369,0,92,0,0,760,568,0,0,0,0
120745230c01b2e0,_Z8gpu_mm_rPfS_S_ii,9.6,29,1,59,1,16,16,1,3072,3072,12,0,-1,,0,0,0,192,64,944,1848,944,2376,1296,9,0,944,1836,944,64,0,0,1808,0,0,41,1812,7272,309,1368,72,2304,0,944,184144,128,4016,4976,0,4024,0,0,2616,624,0,2621,624,0
120745230c0590a0,_Z8gpu_mm_aPfS_ii,378.4,389,1,59,59,16,16,1,3072,3072,12,0,-1,,0,0,0,11952,3984,55696,72808,55696,131472,71712,498,0,55696,72840,55696,3976,0,0,73024,0,0,6071,72963,433384,17715,79360,3976,127232,0,55696,12348015,7968,246724,269310,0,246532,0,0,145478,39808,0,145409,39808,0
